Food,Hour,Calories,Carb (g),Sugar (g),Protein (g)
Fig Bar,14:54:00,392.0,77.0,51.8,4.1
Powerade,13:32:00,130.0,35.0,34.0,0.0
Superfood Salad,10:30:00,170.0,14.0,7.0,5.0
Dots Gumdrops,14:30:00,130.0,33.0,21.0,0.0
Spaghetti,12:00:00,511.2,102.6,3.7,18.0
Greek Yogurt Power Smoothie,10:00:00,180.0,16.0,12.0,20.0
Clam Chowder,13:00:00,201.0,21.0,0.6,6.6
Smartie Candy Roll,11:50:00,50.0,12.0,12.0,0.0
Grilled Chicken,12:50:00,252.0,0.0,0.0,50.0
Green Beans,12:50:00,20.0,4.5,2.1,1.1
French Toast with Syrup,10:00:00,560.0,124.0,84.0,10.0
Rice,12:15:00,18.0,4.0,0.0,0.4
Broccoli,12:15:00,5.0,1.0,0.2,0.3
Steak,12:15:00,39.0,0.0,0.0,3.7
Ham Sandwich,13:00:00,98.0,11.0,1.4,5.4
BBQ Chicken,14:30:00,191.0,13.0,11.0,20.5
Salad with Fried Chicken and Ranch Dressing,14:15:00,451.0,18.0,4.2,30.0
Grapes,13:30:00,34.0,8.9,7.6,0.4
Turkey Wings,12:45:00,852.0,0.0,0.0,102.0
Spinach,12:45:00,41.0,6.8,0.8,5.3
Coffee,12:45:00,358.0,70.0,1.3,13.0
Creamers,12:45:00,362.0,58.0,28.0,5.5
Chicken Breast,14:00:00,198.0,0.0,0.0,37.0
Chicken Wing,14:00:00,88.0,2.6,0.1,4.5
Peach,14:00:00,68.0,17.0,15.0,1.6
Small Bowl of Spinach,13:15:00,41.0,6.8,0.8,5.3
Tea,13:15:00,2.0,0.5,0.0,0.0
Baked Chicken,12:30:00,187.0,0.0,0.0,20.0
Squash,12:30:00,41.0,6.8,4.5,1.9
Eggs,11:30:00,143.0,0.7,0.4,13.0
Bacon,11:30:00,215.0,0.8,0.0,16.0
Waffle with Syrup,11:30:00,218.0,25.0,0.0,5.9
Soda,11:30:00,206.0,51.0,49.0,0.0
Biscott Cookie,13:15:00,348.0,52.0,20.0,6.0
Chicken,12:45:00,498.7,0.1,0.0,54.3
Fries,12:45:00,575.0,76.0,0.6,6.3
Biscuit,12:45:00,212.0,27.0,1.3,4.2
6-inch Turkey Sub,14:00:00,456.0,36.0,4.5,28.0
Chicken Biscuit,10:30:00,396.0,40.0,3.5,16.0
Baked Chicken Thigh,11:00:00,180.0,0.0,0.0,20.0
Baked Potato,11:00:00,80.5,18.3,1.0,2.2
Pepperoni,10:00:00,40.0,0.1,0.0,1.5
Peppers,11:00:00,11.0,2.7,1.0,0.4
Onions,11:00:00,30.0,6.9,3.2,0.9
Chicken Chorizo,13:15:00,167.0,0.0,0.0,20.0
Pepperjack Cheese,13:15:00,211.0,0.4,0.3,14.0
Strawberries,13:15:00,28.0,6.7,4.2,0.6
90% Dark Chocolate,14:00:00,60.0,3.0,0.8,1.0
Cheese,11:00:00,113.0,0.9,0.1,6.4
Sausage,11:00:00,420.0,1.3,1.3,16.0
Creamer,11:00:00,12.0,1.0,0.0,0.1
Sugar,11:00:00,33.0,8.5,8.5,0.0
Tortilla Chips,14:00:00,141.3,20.7,0.2,2.1
Hummus,14:00:00,24.0,2.0,0.0,1.1
Pistachios,13:30:00,350.0,17.0,4.8,13.0
Egg Salad,13:30:00,236.0,2.7,1.2,9.1
Blueberries,13:30:00,25.0,6.4,4.4,0.3
Premier protein choc shake,11:25:00,160.0,5.0,1.0,30.0
Std breakfast,11:50:00,280.0,56.5,24.0,8.0
Fruit smoothie,11:00:00,202.0,42.0,30.0,7.0
PB protein whey powder,11:00:00,113.0,2.0,0.0,25.0
4 small pizza slices everything,14:00:00,626.0,70.0,7.2,26.0
Mac and cheese,13:55:00,376.0,47.0,8.5,9.7
Blue Bunny fudge bar,14:40:00,62.0,12.0,9.0,2.2
Veggie omelet,13:20:00,310.0,9.5,3.9,18.5
Cinnamon raisin bagel,13:20:00,180.0,36.0,3.9,6.5
1 snack size baby ruth,11:45:00,83.0,12.0,9.7,1.0
Ritz PB crackers,14:35:00,200.0,22.0,5.0,4.0
Baked chicken ,12:30:00,187.0,0.0,0.0,20.0
String beans,12:30:00,22.0,5.0,2.3,1.2
Lemon risotto,12:30:00,165.0,25.0,3.0,5.0
Cheesecake,12:30:00,80.0,6.4,5.4,1.4
(Costco) Seafood Stuffed Salmon,13:44,201.0,1.5,0.2,24.0
(Green Giant) Rice Cauliflower - Plain,13:44,15.0,2.9,1.1,1.1
(Dayka and Hackett) Navel Orange,13:44,104.0,27.0,18.0,1.9
(Quaker) Old Fashioned Oats,10:05,150.0,27.0,1.0,5.0
(Red Delicious) Apple with Skin,10:05,125.0,30.0,22.0,0.6
Ground Flaxseeds,10:05,55.0,3.0,0.2,1.9
(Now) Whole Psyllium Husks,10:05,35.0,8.0,0.0,0.0
(Harris Teeter) Fat Free Organic Milk,10:05,80.0,13.0,12.0,8.0
(Peppridge Farm) Whole Wheat Hamburger Bun,13:00,130.0,22.0,3.0,7.0
(Jif) Extra Crunchy Peanut Butter,13:00,190.0,8.0,3.0,7.0
(Firebirds Wood Fired Grill) Steak Sandwich with lettuce and onion,13:00,315.0,26.5,4.5,20.5
(Firebirds Wood Fired Grill) Seasoned Steak Fries,13:00,457.5,59.3,0.8,6.8
(Alex's) Lemonade,13:00,99.0,26.0,25.0,0.2
Cinnamon,12:10,13.0,4.2,0.1,0.2
Std Bfast,10:40,280.0,56.5,24.0,8.0
Homemade soup ,13:40,200.0,16.0,2.8,7.5
Owen's Crunchy Chicken Sandwich without dijonnaise,13:20,468.0,39.0,6.8,30.0
(NOSH) Veggie Slaw Side Order,13:20,174.0,14.0,10.0,1.0
Golden Crust Chicken Patil,14:15:00,405.0,41.0,2.8,30.0
Pineapple and Ginger Juice,14:15:00,133.0,32.0,25.0,0.9
Banana,14:15:00,105.0,27.0,14.0,1.3
Mini Croissants,12:40:00,227.0,26.0,6.3,4.6
Turkey Bacon,12:40:00,60.0,0.7,0.7,4.8
Medium Banana,14:30:00,105.0,27.0,14.0,1.3
Granola Oats and Honey,14:30:00,555.0,61.0,22.0,16.0
Avocado Sandwich - White bread with mayo,12:41:00,378.0,35.0,1.6,13.0
Salad - Shrimp Lettuce Tomato Cheese Avocado,14:55:00,495.0,16.0,5.7,42.0
Low Sugar Apple Juice,14:55:00,114.0,28.0,24.0,0.3
(Wheat Thins) Ranch Crackers,13:28:00,233.3,35.0,8.3,3.3
Sandwich - White Bread Lettuce Chicken Cheese,11:58:00,468.0,39.0,6.8,30.0
Vanilla Cookies,11:58:00,104.0,16.0,7.1,0.9
Chicken and Cheese Sandwich - White Bread Mayo,13:25:00,468.0,39.0,6.8,30.0
Lemon Cookies,13:25:00,413.0,67.0,38.0,4.5
(Blue Diamond) Almonds Lightly Salted,11:15:00,91.1,2.7,0.5,3.2
Swiss Cheese Thinly Sliced,13:15:00,330.0,1.2,0.0,22.5
Baked Chicken Breast,13:15:00,71.0,0.0,0.0,13.0
Broiled Brussel Sprouts,13:15:00,41.0,8.1,2.0,2.9
Coleslaw with Almond and Cranberry,13:15:00,135.0,11.0,8.1,0.8
Green Seedless Grape,11:00:00,34.0,8.9,7.6,0.4
(Blue Diamond) almonds lightly salted,11:00:00,72.9,2.1,0.4,2.6
(Sunkist) orange,11:00:00,190.0,52.0,50.0,0.0
Greek Isle Salad,13:15:00,40.0,8.4,3.7,2.5
Small Spinach Salad,13:15:00,134.0,3.2,1.4,6.8
Baked Potato Salad with Cheese,12:30:00,520.0,44.0,2.0,0.0
Milk,13:00:00,60.0,4.5,4.0,6.0
Frosted Flakes,13:00:00,220.0,52.0,20.0,2.0
Cream,14:30:00,57.0,0.8,1.1,0.9
Green and Red Seedless Grape,13:55:00,51.0,13.0,11.0,0.5
smoothie (spinach celery stick banana),14:35:00,404.0,84.0,60.0,14.0
Salad (spinach broccoli blueberry soy ranch dressing),14:00:00,151.0,11.0,5.0,2.6
Salmon Salad,12:00:00,81.0,1.5,0.7,8.8
(Florida's Natural) Orange Juice,10:45:00,82.5,19.5,16.5,1.5
Egg White,13:45:00,34.0,0.5,0.5,7.2
Strawberry,13:45:00,23.0,5.5,3.5,0.5
Walnut,13:45:00,106.0,2.2,0.4,2.5
Hard Boiled Egg,10:52:00,156.0,1.1,1.1,12.6
Boneless Skinless Chicken Thigh,12:30:00,186.0,0.0,0.0,27.0
(Hannah) Tatziki Sauce,12:30:00,80.0,4.0,0.0,2.0
Tomatoes,12:30:00,30.0,6.4,4.3,1.4
Beets,12:30:00,37.0,8.5,6.8,1.4
Carrots,12:30:00,27.0,6.4,2.7,0.6
Cucumber,12:30:00,7.8,1.9,0.9,0.3
Lettuce Mix,12:30:00,13.0,2.8,1.2,0.8
Red Bell Pepper,12:30:00,9.5,2.3,1.5,0.3
2% Milk,13:20:00,82.0,7.8,8.3,5.4
Homemade potato cauliflower soup,11:30:00,450.0,41.0,1.9,23.0
Oil,11:30:00,41.0,0.0,0.0,0.0
Cheddar Cheese,11:30:00,1145.0,8.8,1.4,65.0
(Dove) Promises Dark Chocolate,13:30:00,42.0,4.8,3.8,0.4
(Fage) Greek Yogurt plain nonfat,10:20:00,220.0,9.0,9.0,20.0
Mixed Berries,10:20:00,65.0,15.0,8.7,1.4
(Kashi) Go Rise Cereal,10:20:00,72.0,16.0,3.2,4.8
Lamb Gyro,13:05:00,723.0,43.0,6.8,47.0
Homemade Potato Chips,13:05:00,138.0,2.2,0.1,0.3
Hershey Kiss,11:00:00,67.0,8.3,7.7,1.0
Balsamic Vinegar,13:43:00,28.0,5.4,4.8,0.2
Salad Greens,13:43:00,27.0,5.1,0.8,2.1
Celery,13:00:00,14.0,3.0,1.8,0.6
Chicken Gyro,12:50:00,466.0,44.0,6.5,44.0
Medium French Fries,12:50:00,365.0,48.0,0.3,4.0
Cheese Steak,11:40:00,573.0,42.0,4.0,32.5
Tortilla,11:40:00,737.0,126.0,0.0,20.0
Refried Beans,11:40:00,214.0,32.0,1.3,12.0
Pizza,12:30:00,854.0,107.0,11.0,37.0
Mountain Dew,12:30:00,230.0,62.0,62.0,0.0
Brunswick Stew,13:30:00,574.0,34.0,19.0,48.0
Slaw,13:30:00,174.0,14.0,10.0,1.0
Nutty Bar,11:50:00,312.0,31.0,19.0,4.6
Potato Salad,12:00:00,162.0,12.7,0.0,3.1
Baked Beans,12:00:00,107.0,24.0,9.0,5.4
Donut,11:15:00,253.0,29.0,14.0,3.7
(Stouffers) Green Pepper Steak,12:15:00,270.0,34.0,5.0,16.0
Pecan Twirl,12:15:00,100.0,16.0,7.0,1.0
Chicken Casserole,12:00:00,410.0,24.0,2.2,19.0
Apple Pie,12:00:00,269.0,39.0,18.0,2.2
Mashed Potato,12:00:00,128.0,19.0,1.6,2.2
Cranberry Sauce,12:00:00,220.0,56.0,44.0,1.2
Chili,13:30:00,335.0,17.0,3.1,21.0
(Jersey Mikes) Salad - Cheese Steak Ranch,12:10:00,471.0,13.0,8.7,28.0
Cream Cheese,12:00:00,102.0,1.6,1.1,1.8
Sausage ,12:00:00,210.0,0.6,0.6,8.1
Moon Cheddar Cheese,14:20:00,230.0,1.8,0.3,12.9
Peppermint Tea,14:30:00,2.4,0.5,0.0,0.0
Jim Bean Bourbon,12:18:00,70.0,0.0,0.0,0.0
MCT Oil,13:10:00,121.0,0.0,0.0,0.0
Pork BBQ,12:12:00,418.0,47.0,38.0,33.0
Beans,12:12:00,239.0,54.0,20.0,12.0
Potato,12:12:00,161.0,37.0,2.0,4.3
Chocolate Peanut Almond Bar,14:10:00,343.0,33.0,24.0,5.0
(Smoke House) Almonds,10:30:00,255.0,9.0,2.1,8.9
Salad - (chicken tomato ranch),12:41:00,576.0,22.0,5.9,43.0
(Wendy's) Southwest Salad,12:12:00,300.0,10.0,4.0,21.0
Fried Cheese Curds,14:45:00,495.0,3.8,0.6,28.0
Half and Half,11:25:00,37.0,1.4,1.2,0.9
Sushi,12:20:00,349.0,38.0,7.0,7.8
Soup,12:20:00,62.0,7.3,0.7,3.1
Potato Chip,13:51,53.0,5.4,0.0,0.6
Chicken Noodle Soup,14:00,93.0,11.0,1.0,4.7
(CaraCara) fresh orange juice,14:55,140.0,42.0,28.0,2.0
Decaf Latte,12:15,189.0,19.0,19.0,12.0
Lactose Free Milk,12:15,409.0,11.0,0.0,7.4
Frosted Flake,10:19,280.0,56.5,24.0,8.0
low fat cottage cheese,13:26,81.0,3.1,3.1,14.0
banana,13:26,105.0,27.0,14.0,1.3
skim decaf latte,11:30,189.0,19.0,19.0,12.0
turkey leg,13:19,335.0,0.0,0.0,48.0
greek yogurt,12:59,532.0,32.0,29.0,92.0
Arkansas black apple,13:09,100.0,25.0,19.0,0.5
ham and turkey sandwich,13:11,550.0,39.0,7.0,32.0
cheese crackers,14:12,303.0,37.0,2.8,6.8
decaf latte,14:23,189.0,19.0,19.0,12.0
oatmeal,11:59,125.0,21.0,0.5,4.5
maple syrup,11:59,26.0,6.7,6.0,0.0
tea with milk,12:08,62.0,5.2,5.0,3.1
Honey,12:08,21.0,5.8,5.8,0.0
turkey and brie sandwich,14:30,287.0,20.5,5.0,16.0
Mixed Nuts,14:38,85.0,3.6,0.7,2.4
Chicken Parmesan with Tomato Sauce,11:50:00,324.0,17.0,4.4,26.0
Mashed Potatoes with Brown Gravy,11:50:00,265.0,39.0,3.1,4.5
Mixed Vegetables (corn peas carrots),11:50:00,12.0,2.4,1.0,0.6
Lifesavers Breath Mints,13:55:00,30.0,7.5,7.0,0.0
V8 Low Sodium,10:19:00,40.0,7.5,6.0,1.5
Club Sandwich with turkey bacon and cheddar cheese,12:20:00,817.0,42.0,7.0,56.0
Lifesaver Peppermint Breath Mint,13:25:00,15.0,4.0,4.0,0.0
Taco Bell Chicken Quesadilla,11:25:00,500.0,38.0,2.0,27.0
Soft Taco,11:25:00,158.0,14.0,0.6,6.0
Uncle Al's Strawberry Cremes Cookies,10:20:00,120.0,19.0,9.0,1.0
Pepsi,10:20:00,150.0,41.0,41.0,0.0
Goetzes Caramel Cremes,14:45:00,94.0,17.0,9.0,0.7
Pizza Slice of NY Pepperoni,11:50:00,626.0,70.0,7.0,26.0
Strawberry Scone,11:50:00,424.0,32.0,1.2,7.3
Coca Cola,11:50:00,150.0,41.0,41.0,0.0
Hard Boiled Eggs,11:45:00,182.0,2.0,2.0,12.0
Cottage Cheese,11:45:00,107.0,4.0,3.0,12.0
Apple Pie ,11:45:00,296.0,43.0,20.0,2.4
M&M's,12:45:00,236.0,34.0,31.0,2.0
"Milkyway ""Fun Size"" Candy Bar",12:45:00,190.0,30.0,26.0,2.0
Whoopers Malted Milk Balls,12:45:00,108.0,18.0,13.0,0.4
Coffee + skim milk,10:00,35.0,4.5,4.7,3.4
Glucerna snack bar,10:09,160.0,20.0,4.0,10.0
Northern Harvest Sweet + Spicy Chunk light Tuna,13:10,80.0,4.0,3.5,16.0
multigrain cakes,13:50,200.0,28.0,5.0,3.0
2 slices bacon,11:00,108.0,0.4,0.0,7.8
chicken cesear salad wrap,13:00,533.0,32.0,1.4,29.0
Salt and vinegar chips,13:00,745.0,75.0,0.4,9.0
Honest Organic Honey Green Tea,13:00,70.0,19.0,19.0,0.0
Slim fast shake,14:07,171.0,2.5,1.8,19.5
Sugg's coconut greek yogurt,12:00,140.0,15.0,15.0,12.5
1/2 cup cottge cheese,11:00,70.0,2.4,1.9,7.9
peach slices,11:00,55.0,14.5,13.0,0.8
1 whole grapefruit,12:30,104.0,26.0,17.0,1.9
2 leftover burritos,12:30,578.0,75.0,6.7,23.0
Ham and cheese sandwhich,13:15,517.0,28.0,3.6,28.0
Brownies,13:15,466.0,50.0,28.0,6.2
Peanut Butter,13:15,94.0,3.9,1.1,3.5
Elmo's diner breakfast burrito 2 eggs/sausage/black beans/sour cream,12:45,657.0,72.0,1.4,29.0
Side of home fried potatoes,12:45,235.0,45.0,0.0,6.9
1 cup coffee,12:45,84.0,2.6,2.6,2.4
brown rice,10:00,218.0,46.0,0.0,4.6
sardines ,10:00,25.0,0.0,0.0,3.0
kimchi,10:00,23.0,3.6,1.6,1.7
french bread,11:00,348.0,66.0,6.0,13.8
Swiss cheese,11:00,424.0,1.6,0.0,29.0
Salami,11:00,148.0,0.3,0.1,8.4
1 ensure plus,12:00,355.0,50.0,21.0,13.0
Standard breakfast,10:30,280.0,56.5,24.0,8.0
Plain cheese pizza,11:30,452.0,57.0,6.1,19.0
cooked black eyed peas,11:30,198.0,35.0,5.6,13.0
