Food,Hour,Calories,Carb (g),Sugar (g),Protein (g)
Roasted Red Pepper Hummus,16:00:00,114.0,13.0,2.0,4.7
Milk Chocolate Petit Beurre Biscuits,16:00:00,123.0,18.2,5.3,1.6
Lifesaver Gummies (wild berries),15:05:00,65.0,15.5,13.0,0.5
Quest Protein Bar Caramel Chocolate Chunk,15:58:00,160.0,25.0,1.0,20.0
Quest Protein Bar Caramel Chocolate Chunk,15:27:00,160.0,25.0,1.0,20.0
Small pc red velvet cake,15:50,368.0,36.0,25.0,4.2
Freddy's Steakbuurger,15:30,540.0,40.5,0.0,34.5
Small chocolate shake (1/2),15:30,270.0,48.0,47.3,7.0
Old El Priso burrito 2 taco shells,15:45,126.0,16.8,0.4,1.7
Gnd beef,15:45,308.0,0.0,0.0,31.0
cheese,15:45,113.0,0.9,0.1,6.4
rice + beans,15:45,55.0,9.0,0.3,1.7
Diet Soda,15:45,0.0,0.4,0.0,0.0
Two slices of bread,16:30,154.0,28.0,3.2,5.2
Butter,16:30,204.0,0.0,0.0,0.2
